									2018 Outcome														2016 Outcome														2014 Outcome														2012 Outcome														2010 Outcome
2018										Democrat		Republican		Margin of Victory			Base Color			Height in mm				Democrat		Republican		Margin of Victory			Base Color			Height in mm				Democrat		Republican		Margin of Victory			Base Color			Height in mm				Democrat		Republican		Margin of Victory			Base Color			Height in mm				Democrat		Republican		Margin of Victory			Base Color			Height in mm
Index	FIPS	County	State	Index	CD	FIPS	County	State	Tot Vote	Dem Votes	%	Rep Votes	%	Votes	% (R-D)	Winner	Color		Hex	Base	Z-# Votes	Total Ht.	Tot Vote	Votes	%	Rep Votes	%	Votes	% (R-D)	Winner	Color		Hex	Base	Z-# Votes	Total Ht.	Tot Vote	Votes	%	Rep Votes	%	Votes	% (R-D)	Winner	Color		Hex	Base	Z-# Votes	Total Ht.	Tot Vote	Votes	%	Rep Votes	%	Votes	% (R-D)	Winner	Color		Hex	Base	Z-# Votes	Total Ht.	Tot Vote	Votes	%	Rep Votes	%	Votes	% (R-D)	Winner	Color		Hex	Base	Z-# Votes	Total Ht.
510	13229	Pierce	GA	510	1	13229	Pierce	GA	6815	741	10.90%	6074	89.10%	5333	78.30%	R	R4		ff0000	0.618	1	1.6	6546	0	0.00%	6544	100.00%	6542	100.00%	R	R5		990000	0.618	1	1.6	3954	525	13.30%	3429	86.70%	2904	73.40%	R	R4		ff0000	0.618	1	1.6	6593	932	14.10%	5661	85.90%	4729	71.70%	R	R4		ff0000	0.618	1	1.6	4130	524	12.70%	3606	87.30%	3082	74.60%	R	R4		ff0000	0.618	1	1.6
511	13231	Pike	GA	511	3	13231	Pike	GA	8410	1149	13.70%	7261	86.30%	6112	72.70%	R	R4		ff0000	0.618	1	1.6	8392	1179	14.00%	7213	86.00%	6034	71.90%	R	R4		ff0000	0.618	1	1.6	4998	0	0.00%	4998	100.00%	4998	100.00%	R	R5		990000	0.618	1	1.6	7032	0	0.00%	7030	100.00%	7030	100.00%	R	R5		990000	0.618	1	1.6	5743	958	16.70%	4785	83.30%	3827	66.60%	R	R4		ff0000	0.618	1	1.6
512	13233	Polk	GA	512	14	13233	Polk	GA	12628	2553	20.20%	10075	79.80%	7522	59.60%	R	R3		ff7878	0.618	1	1.6	12150	0	0.00%	12132	99.90%	12114	99.90%	R	R5		990000	0.618	1	1.6	6714	0	0.00%	6714	100.00%	6714	100.00%	R	R5		990000	0.618	1	1.6	12658	3651	28.80%	9007	71.20%	5356	42.30%	R	R3		ff7878	0.618	1	1.6	7337	0	0.00%	7337	100.00%	7337	100.00%	R	R5		990000	0.618	1	1.6
513	13235	Pulaski	GA	513	8	13235	Pulaski	GA	2881	0	0.00%	2881	100.00%	2881	100.00%	R	R5		990000	0.618	1	1.6	3409	917	26.90%	2492	73.10%	1575	46.20%	R	R3		ff7878	0.618	1	1.6	1846	0	0.00%	1846	100.00%	1846	100.00%	R	R5		990000	0.618	1	1.6	2730	0	0.00%	2730	100.00%	2730	100.00%	R	R5		990000	0.618	1	1.6	2593	1114	43.00%	1479	57.00%	365	14.10%	R	R1		ffcccc	0.618	1	1.6
514	13237	Putnam	GA	514	10	13237	Putnam	GA	9199	2480	27.00%	6719	73.00%	4239	46.10%	R	R3		ff7878	0.618	1	1.6	7711	0	0.00%	7705	99.90%	7699	99.90%	R	R5		990000	0.618	1	1.6	6246	1655	26.50%	4591	73.50%	2936	47.00%	R	R3		ff7878	0.618	1	1.6	7090	0	0.00%	7083	99.90%	7083	99.90%	R	R5		990000	0.618	1	1.6	6556	1862	28.40%	4694	71.60%	2832	43.20%	R	R3		ff7878	0.618	1	1.6
515	13239	Quitman	GA	515	2	13239	Quitman	GA	914	465	50.90%	449	49.10%	16	-1.80%	D	P		ff00ff	0.618	1	1.6	973	569	58.50%	404	41.50%	165	-17.00%	D	B1		cce5ff	0.618	1	1.6	618	345	55.80%	273	44.20%	72	-11.70%	D	B1		cce5ff	0.618	1	1.6	1072	688	64.20%	384	35.80%	304	-28.40%	D	B2		99ccff	0.618	1	1.6	830	460	55.40%	370	44.60%	90	-10.80%	D	B1		cce5ff	0.618	1	1.6
516	13241	Rabun	GA	516	9	13241	Rabun	GA	7449	1484	19.90%	5965	80.10%	4481	60.20%	R	R4		ff0000	0.618	1	1.6	6708	0	0.00%	6708	100.00%	6708	100.00%	R	R5		990000	0.618	1	1.6	5319	1250	23.50%	4069	76.50%	2819	53.00%	R	R3		ff7878	0.618	1	1.6	6918	1950	28.20%	4968	71.80%	3018	43.60%	R	R3		ff7878	0.618	1	1.6	5342	1399	26.20%	3943	73.80%	2544	47.60%	R	R3		ff7878	0.618	1	1.6
517	13243	Randolph	GA	517	2	13243	Randolph	GA	2733	1710	62.60%	1023	37.40%	687	-25.10%	D	B2		99ccff	0.618	1	1.6	2823	1898	67.20%	925	32.80%	973	-34.50%	D	B2		99ccff	0.618	1	1.6	2153	1305	60.60%	848	39.40%	457	-21.20%	D	B2		99ccff	0.618	1	1.6	2979	1960	65.80%	1019	34.20%	941	-31.60%	D	B2		99ccff	0.618	1	1.6	2389	1325	55.50%	1064	44.50%	261	-10.90%	D	B1		cce5ff	0.618	1	1.6
518	13245	Richmond	GA	518	12	13245	Richmond	GA	69426	45717	65.80%	23708	34.10%	22009	-31.70%	D	B2		99ccff	0.618	2	2.6	73184	45023	61.50%	28161	38.50%	16862	-23.00%	D	B2		99ccff	0.618	2	2.6	48348	31740	65.60%	16608	34.40%	15132	-31.30%	D	B2		99ccff	0.618	1	1.6	76781	55216	71.90%	21565	28.10%	33651	-43.80%	D	B3		6a5acd	0.618	2	2.6	49933	31333	62.80%	18600	37.20%	12733	-25.50%	D	B2		99ccff	0.618	1	1.6
519	13247	Rockdale	GA	519	4	13247	Rockdale	GA	36044	24318	67.50%	11726	32.50%	12592	-34.90%	D	B2		99ccff	0.618	1	1.6	36812	23164	62.90%	13648	37.10%	9516	-25.90%	D	B2		99ccff	0.618	1	1.6	18338	18300	99.80%	0	0.00%	18262	-99.80%	D	B5		80	0.618	1	1.6	36989	21139	57.10%	15845	42.80%	5294	-14.30%	D	B1		cce5ff	0.618	1	1.6	26714	13501	50.50%	13213	49.50%	288	-1.10%	D	P		ff00ff	0.618	1	1.6
520	13249	Schley	GA	520	2	13249	Schley	GA	1902	453	23.80%	1449	76.20%	996	52.40%	R	R3		ff7878	0.618	1	1.6	1880	601	32.00%	1279	68.00%	678	36.10%	R	R2		ff9999	0.618	1	1.6	1275	393	30.80%	882	69.20%	489	38.40%	R	R2		ff9999	0.618	1	1.6	1710	640	37.40%	1070	62.60%	430	25.10%	R	R2		ff9999	0.618	1	1.6	1211	325	26.80%	886	73.20%	561	46.30%	R	R3		ff7878	0.618	1	1.6
521	13251	Screven	GA	521	12	13251	Screven	GA	5337	2121	39.70%	3216	60.30%	1095	20.50%	R	R1		ffcccc	0.618	1	1.6	5470	2044	37.40%	3426	62.60%	1382	25.30%	R	R2		ff9999	0.618	1	1.6	3800	1980	52.10%	1820	47.90%	160	-4.20%	D	B1		cce5ff	0.618	1	1.6	5939	3603	60.70%	2336	39.30%	1267	-21.30%	D	B2		99ccff	0.618	1	1.6	3860	2053	53.20%	1807	46.80%	246	-6.40%	D	B1		cce5ff	0.618	1	1.6
522	13253	Seminole	GA	522	2	13253	Seminole	GA	3187	1265	39.70%	1922	60.30%	657	20.60%	R	R1		ffcccc	0.618	1	1.6	3476	1517	43.60%	1959	56.40%	442	12.70%	R	R1		ffcccc	0.618	1	1.6	2265	921	40.70%	1344	59.30%	423	18.70%	R	R1		ffcccc	0.618	1	1.6	3661	1718	46.90%	1943	53.10%	225	6.10%	R	R1		ffcccc	0.618	1	1.6	2767	954	34.50%	1813	65.50%	859	31.00%	R	R2		ff9999	0.618	1	1.6
523	13255	Spalding	GA	523	3	13255	Spalding	GA	23869	8919	37.40%	14950	62.60%	6031	25.30%	R	R2		ff9999	0.618	1	1.6	24387	8681	35.60%	15706	64.40%	7025	28.80%	R	R2		ff9999	0.618	1	1.6	12879	0	0.00%	12879	100.00%	12879	100.00%	R	R5		990000	0.618	1	1.6	18406	0	0.00%	18388	99.90%	18388	99.90%	R	R5		990000	0.618	1	1.6	16553	5612	33.90%	10940	66.10%	5328	32.20%	R	R2		ff9999	0.618	1	1.6
524	13257	Stephens	GA	524	9	13257	Stephens	GA	8948	1705	19.10%	7243	80.90%	5538	61.90%	R	R4		ff0000	0.618	1	1.6	8597	0	0.00%	8597	100.00%	8597	100.00%	R	R5		990000	0.618	1	1.6	5167	1056	20.40%	4111	79.60%	3055	59.10%	R	R3		ff7878	0.618	1	1.6	8894	2381	26.80%	6513	73.20%	4132	46.50%	R	R3		ff7878	0.618	1	1.6	6526	1664	25.50%	4862	74.50%	3198	49.00%	R	R3		ff7878	0.618	1	1.6
525	13259	Stewart	GA	525	2	13259	Stewart	GA	1757	1116	63.50%	641	36.50%	475	-27.00%	D	B2		99ccff	0.618	1	1.6	1984	1455	73.30%	529	26.70%	926	-46.70%	D	B3		6a5acd	0.618	1	1.6	1214	863	71.10%	351	28.90%	512	-42.20%	D	B3		6a5acd	0.618	1	1.6	2002	1457	72.80%	545	27.20%	912	-45.60%	D	B3		6a5acd	0.618	1	1.6	1583	1017	64.20%	566	35.80%	451	-28.50%	D	B2		99ccff	0.618	1	1.6
526	13261	Sumter	GA	526	2	13261	Sumter	GA	10438	5827	55.80%	4611	44.20%	1216	-11.60%	D	B1		cce5ff	0.618	1	1.6	10839	6292	58.00%	4547	42.00%	1745	-16.10%	D	B1		cce5ff	0.618	1	1.6	8022	4506	56.20%	3516	43.80%	990	-12.30%	D	B1		cce5ff	0.618	1	1.6	11617	6938	59.70%	4679	40.30%	2259	-19.40%	D	B1		cce5ff	0.618	1	1.6	8315	4152	49.90%	4163	50.10%	11	0.10%	R	P		ff00ff	0.618	1	1.6
527	13263	Talbot	GA	527	2	13263	Talbot	GA	2881	1814	63.00%	1067	37.00%	747	-25.90%	D	B2		99ccff	0.618	1	1.6	3112	2083	66.90%	1029	33.10%	1054	-33.90%	D	B2		99ccff	0.618	1	1.6	2153	1396	64.80%	757	35.20%	639	-29.70%	D	B2		99ccff	0.618	1	1.6	3329	2236	67.20%	1093	32.80%	1143	-34.30%	D	B2		99ccff	0.618	1	1.6	2396	1494	62.40%	902	37.60%	592	-24.70%	D	B2		99ccff	0.618	1	1.6
528	13265	Taliaferro	GA	528	10	13265	Taliaferro	GA	848	485	57.20%	363	42.80%	122	-14.40%	D	B1		cce5ff	0.618	1	1.6	490	0	0.00%	490	100.00%	490	100.00%	R	R5		990000	0.618	1	1.6	546	313	57.30%	233	42.70%	80	-14.70%	D	B1		cce5ff	0.618	1	1.6	443	0	0.00%	443	100.00%	443	100.00%	R	R5		990000	0.618	1	1.6	727	536	73.70%	191	26.30%	345	-47.50%	D	B3		6a5acd	0.618	1	1.6
529	13267	Tattnall	GA	529	12	13267	Tattnall	GA	6529	1501	23.00%	5028	77.00%	3527	54.00%	R	R3		ff7878	0.618	1	1.6	6494	1442	22.20%	5052	77.80%	3610	55.60%	R	R3		ff7878	0.618	1	1.6	4250	1584	37.30%	2666	62.70%	1082	25.50%	R	R2		ff9999	0.618	1	1.6	6454	3167	49.10%	3287	50.90%	120	1.90%	R	P		ff00ff	0.618	1	1.6	4139	1760	42.50%	2379	57.50%	619	15.00%	R	R1		ffcccc	0.618	1	1.6
530	13269	Taylor	GA	530	2	13269	Taylor	GA	3255	1361	41.80%	1894	58.20%	533	16.40%	R	R1		ffcccc	0.618	1	1.6	3315	1610	48.60%	1705	51.40%	95	2.90%	R	R1		ffcccc	0.618	1	1.6	2189	1029	47.00%	1160	53.00%	131	6.00%	R	R1		ffcccc	0.618	1	1.6	3390	1737	51.20%	1653	48.80%	84	-2.50%	D	B1		cce5ff	0.618	1	1.6	2535	1099	43.40%	1436	56.60%	337	13.30%	R	R1		ffcccc	0.618	1	1.6
531	13271	Telfair	GA	531	8	13271	Telfair	GA	2652	0	0.00%	2652	100.00%	2652	100.00%	R	R5		990000	0.618	1	1.6	3518	1214	34.50%	2304	65.50%	1090	31.00%	R	R2		ff9999	0.618	1	1.6	1937	0	0.00%	1937	100.00%	1937	100.00%	R	R5		990000	0.618	1	1.6	2602	0	0.00%	2602	100.00%	2602	100.00%	R	R5		990000	0.618	1	1.6	2694	1116	41.40%	1578	58.60%	462	17.10%	R	R1		ffcccc	0.618	1	1.6
532	13273	Terrell	GA	532	2	13273	Terrell	GA	3890	2372	61.00%	1518	39.00%	854	-22.00%	D	B2		99ccff	0.618	1	1.6	4132	2585	62.60%	1547	37.40%	1038	-25.10%	D	B2		99ccff	0.618	1	1.6	3307	2050	62.00%	1257	38.00%	793	-24.00%	D	B2		99ccff	0.618	1	1.6	4337	2809	64.80%	1528	35.20%	1281	-29.50%	D	B2		99ccff	0.618	1	1.6	3205	1725	53.80%	1480	46.20%	245	-7.60%	D	B1		cce5ff	0.618	1	1.6
533	13275	Thomas	GA	533	8	13275	Thomas	GA	12903	0	0.00%	12863	99.70%	12823	99.70%	R	R5		990000	0.618	1	1.6	18076	6544	36.20%	11532	63.80%	4988	27.60%	R	R2		ff9999	0.618	1	1.6	8441	0	0.00%	8441	100.00%	8441	100.00%	R	R5		990000	0.618	1	1.6	13565	0	0.00%	13565	100.00%	13565	100.00%	R	R5		990000	0.618	1	1.6	13277	4639	34.90%	8638	65.10%	3999	30.10%	R	R2		ff9999	0.618	1	1.6
534	13277	Tift	GA	534	8	13277	Tift	GA	11195	0	0.00%	11195	100.00%	11195	100.00%	R	R5		990000	0.618	1	1.6	13804	3456	25.00%	10348	75.00%	6892	49.90%	R	R3		ff7878	0.618	1	1.6	7062	0	0.00%	7054	99.90%	7046	99.90%	R	R5		990000	0.618	1	1.6	10950	0	0.00%	10950	100.00%	10950	100.00%	R	R5		990000	0.618	1	1.6	9765	3359	34.40%	6406	65.60%	3047	31.20%	R	R2		ff9999	0.618	1	1.6
535	13279	Toombs	GA	535	12	13279	Toombs	GA	8737	2157	24.70%	6580	75.30%	4423	50.60%	R	R3		ff7878	0.618	1	1.6	8680	2091	24.10%	6589	75.90%	4498	51.80%	R	R3		ff7878	0.618	1	1.6	5609	1769	31.50%	3840	68.50%	2071	36.90%	R	R2		ff9999	0.618	1	1.6	9056	3885	42.90%	5171	57.10%	1286	14.20%	R	R1		ffcccc	0.618	1	1.6	6563	1946	29.70%	4617	70.30%	2671	40.70%	R	R3		ff7878	0.618	1	1.6
536	13281	Towns	GA	536	9	13281	Towns	GA	6020	1110	18.40%	4910	81.60%	3800	63.10%	R	R4		ff0000	0.618	1	1.6	5655	0	0.00%	5655	100.00%	5655	100.00%	R	R5		990000	0.618	1	1.6	4213	967	23.00%	3246	77.00%	2279	54.10%	R	R3		ff7878	0.618	1	1.6	5750	1430	24.90%	4320	75.10%	2890	50.30%	R	R3		ff7878	0.618	1	1.6	4192	998	23.80%	3194	76.20%	2196	52.40%	R	R3		ff7878	0.618	1	1.6
537	13283	Treutlen	GA	537	12	13283	Treutlen	GA	2512	749	29.80%	1763	70.20%	1014	40.40%	R	R2		ff9999	0.618	1	1.6	2465	706	28.60%	1759	71.40%	1053	42.70%	R	R3		ff7878	0.618	1	1.6	1537	653	42.50%	884	57.50%	231	15.00%	R	R1		ffcccc	0.618	1	1.6	2595	1452	56.00%	1143	44.00%	309	-11.90%	D	B1		cce5ff	0.618	1	1.6	1785	732	41.00%	1053	59.00%	321	18.00%	R	R1		ffcccc	0.618	1	1.6
538	13285	Troup	GA	538	3	13285	Troup	GA	23499	8690	37.00%	14809	63.00%	6119	26.00%	R	R2		ff9999	0.618	1	1.6	25296	8799	34.80%	16497	65.20%	7698	30.40%	R	R2		ff9999	0.618	1	1.6	12240	0	0.00%	12240	100.00%	12240	100.00%	R	R5		990000	0.618	1	1.6	19903	0	0.00%	19903	100.00%	19903	100.00%	R	R5		990000	0.618	1	1.6	15818	5452	34.50%	10366	65.50%	4914	31.10%	R	R2		ff9999	0.618	1	1.6
539	13287	Turner	GA	539	8	13287	Turner	GA	2635	0	0.00%	2635	100.00%	2635	100.00%	R	R5		990000	0.618	1	1.6	3308	1029	31.10%	2279	68.90%	1250	37.80%	R	R2		ff9999	0.618	1	1.6	1861	0	0.00%	1861	100.00%	1861	100.00%	R	R5		990000	0.618	1	1.6	2766	0	0.00%	2766	100.00%	2766	100.00%	R	R5		990000	0.618	1	1.6	2411	968	40.10%	1443	59.90%	475	19.70%	R	R1		ffcccc	0.618	1	1.6
540	13289	Twiggs	GA	540	8	13289	Twiggs	GA	2597	0	0.00%	2597	100.00%	2597	100.00%	R	R5		990000	0.618	1	1.6	3802	1800	47.30%	2002	52.70%	202	5.30%	R	R1		ffcccc	0.618	1	1.6	1868	0	0.00%	1868	100.00%	1868	100.00%	R	R5		990000	0.618	1	1.6	2588	0	0.00%	2588	100.00%	2588	100.00%	R	R5		990000	0.618	1	1.6	3180	2003	63.00%	1177	37.00%	826	-26.00%	D	B2		99ccff	0.618	1	1.6
541	13291	Union	GA	541	9	13291	Union	GA	11706	1904	16.30%	9802	83.70%	7898	67.50%	R	R4		ff0000	0.618	1	1.6	10491	0	0.00%	10491	100.00%	10491	100.00%	R	R5		990000	0.618	1	1.6	7721	1593	20.60%	6128	79.40%	4535	58.70%	R	R3		ff7878	0.618	1	1.6	10475	2468	23.60%	8007	76.40%	5539	52.90%	R	R3		ff7878	0.618	1	1.6	6701	0	0.00%	6701	100.00%	6701	100.00%	R	R5		990000	0.618	1	1.6
542	13293	Upson	GA	542	3	13293	Upson	GA	10389	3326	32.00%	7063	68.00%	3737	36.00%	R	R2		ff9999	0.618	1	1.6	10430	3206	30.70%	7224	69.30%	4018	38.50%	R	R2		ff9999	0.618	1	1.6	5749	0	0.00%	5749	100.00%	5749	100.00%	R	R5		990000	0.618	1	1.6	8889	0	0.00%	8888	100.00%	8888	100.00%	R	R5		990000	0.618	1	1.6	7218	2367	32.80%	4851	67.20%	2484	34.40%	R	R2		ff9999	0.618	1	1.6
543	13295	Walker	GA	543	14	13295	Walker	GA	21145	3847	18.20%	17298	81.80%	13451	63.60%	R	R4		ff0000	0.618	1	1.6	20871	0	0.00%	20871	100.00%	20871	100.00%	R	R5		990000	0.618	1	1.6	10575	0	0.00%	10575	100.00%	10575	100.00%	R	R5		990000	0.618	1	1.6	20499	5025	24.50%	15474	75.50%	10449	51.00%	R	R3		ff7878	0.618	1	1.6	10465	0	0.00%	10465	100.00%	10465	100.00%	R	R5		990000	0.618	1	1.6
544	13297	Walton	GA	544	10	13297	Walton	GA	38204	8501	22.30%	29703	77.70%	21202	55.50%	R	R3		ff7878	0.618	1	1.6	34727	0	0.00%	34727	100.00%	34727	100.00%	R	R5		990000	0.618	1	1.6	25740	4833	18.80%	20907	81.20%	16074	62.40%	R	R4		ff0000	0.618	1	1.6	30753	0	0.00%	30728	99.90%	30728	99.90%	R	R5		990000	0.618	1	1.6	25413	4570	18.00%	20843	82.00%	16273	64.00%	R	R4		ff0000	0.618	1	1.6
545	13299	Ware	GA	545	1	13299	Ware	GA	10916	3009	27.60%	7907	72.40%	4898	44.90%	R	R3		ff7878	0.618	1	1.6	10191	0	0.00%	10191	100.00%	10191	100.00%	R	R5		990000	0.618	1	1.6	6715	1884	28.10%	4831	71.90%	2947	43.90%	R	R3		ff7878	0.618	1	1.6	11404	3423	30.00%	7981	70.00%	4558	40.00%	R	R2		ff9999	0.618	1	1.6	7059	1820	25.80%	5239	74.20%	3419	48.40%	R	R3		ff7878	0.618	1	1.6
546	13301	Warren	GA	546	10	13301	Warren	GA	2198	1141	51.90%	1057	48.10%	84	-3.80%	D	B1		cce5ff	0.618	1	1.6	1483	0	0.00%	1483	100.00%	1483	100.00%	R	R5		990000	0.618	1	1.6	1464	772	52.70%	692	47.30%	80	-5.50%	D	B1		cce5ff	0.618	1	1.6	1459	0	0.00%	1459	100.00%	1459	100.00%	R	R5		990000	0.618	1	1.6	1749	1031	58.90%	718	41.10%	313	-17.90%	D	B1		cce5ff	0.618	1	1.6
547	13303	Washington	GA	547	10	13303	Washington	GA	7925	3876	48.90%	4049	51.10%	173	2.20%	R	R1		ffcccc	0.618	1	1.6	5591	0	0.00%	5591	100.00%	5591	100.00%	R	R5		990000	0.618	1	1.6	5842	2877	49.20%	2965	50.80%	88	1.50%	R	P		ff00ff	0.618	1	1.6	5294	0	0.00%	5294	100.00%	5294	100.00%	R	R5		990000	0.618	1	1.6	5772	3400	58.90%	2372	41.10%	1028	-17.80%	D	B1		cce5ff	0.618	1	1.6
548	13305	Wayne	GA	548	1	13305	Wayne	GA	10018	1974	19.70%	8044	80.30%	6070	60.60%	R	R4		ff0000	0.618	1	1.6	9059	0	0.00%	9037	99.80%	9015	99.80%	R	R5		990000	0.618	1	1.6	6148	1423	23.10%	4725	76.90%	3302	53.70%	R	R3		ff7878	0.618	1	1.6	10000	2343	23.40%	7657	76.60%	5314	53.10%	R	R3		ff7878	0.618	1	1.6	6675	1529	22.90%	5146	77.10%	3617	54.20%	R	R3		ff7878	0.618	1	1.6
549	13307	Webster	GA	549	2	13307	Webster	GA	1090	484	44.40%	606	55.60%	122	11.20%	R	R1		ffcccc	0.618	1	1.6	1095	580	53.00%	515	47.00%	65	-5.90%	D	B1		cce5ff	0.618	1	1.6	782	390	49.90%	392	50.10%	2	0.30%	R	P		ff00ff	0.618	1	1.6	1172	680	58.00%	492	42.00%	188	-16.00%	D	B1		cce5ff	0.618	1	1.6	957	477	49.80%	480	50.20%	3	0.30%	R	P		ff00ff	0.618	1	1.6
550	13309	Wheeler	GA	550	12	13309	Wheeler	GA	1891	546	28.90%	1345	71.10%	799	42.30%	R	R3		ff7878	0.618	1	1.6	1940	568	29.30%	1372	70.70%	804	41.40%	R	R3		ff7878	0.618	1	1.6	1511	691	45.70%	820	54.30%	129	8.50%	R	R1		ffcccc	0.618	1	1.6	1990	1016	51.10%	974	48.90%	42	-2.10%	D	B1		cce5ff	0.618	1	1.6	1318	475	36.00%	843	64.00%	368	27.90%	R	R2		ff9999	0.618	1	1.6
551	13311	White	GA	551	9	13311	White	GA	11293	1746	15.50%	9547	84.50%	7801	69.10%	R	R4		ff0000	0.618	1	1.6	10555	0	0.00%	10555	100.00%	10555	100.00%	R	R5		990000	0.618	1	1.6	7617	1318	17.30%	6299	82.70%	4981	65.40%	R	R4		ff0000	0.618	1	1.6	10141	2102	20.70%	8039	79.30%	5937	58.50%	R	R3		ff7878	0.618	1	1.6	6863	0	0.00%	6863	100.00%	6863	100.00%	R	R5		990000	0.618	1	1.6
552	13313	Whitfield	GA	552	14	13313	Whitfield	GA	26716	6909	25.90%	19807	74.10%	12898	48.30%	R	R3		ff7878	0.618	1	1.6	25391	0	0.00%	25386	100.00%	25381	100.00%	R	R5		990000	0.618	1	1.6	13324	0	0.00%	13324	100.00%	13324	100.00%	R	R5		990000	0.618	1	1.6	25350	6992	27.60%	18358	72.40%	11366	44.80%	R	R3		ff7878	0.618	1	1.6	13486	0	0.00%	13486	100.00%	13486	100.00%	R	R5		990000	0.618	1	1.6
553	13315	Wilcox	GA	553	8	13315	Wilcox	GA	2306	0	0.00%	2304	99.90%	2302	99.90%	R	R5		990000	0.618	1	1.6	2833	719	25.40%	2114	74.60%	1395	49.20%	R	R3		ff7878	0.618	1	1.6	1520	0	0.00%	1520	100.00%	1520	100.00%	R	R5		990000	0.618	1	1.6	2257	0	0.00%	2257	100.00%	2257	100.00%	R	R5		990000	0.618	1	1.6	2088	826	39.60%	1262	60.40%	436	20.90%	R	R1		ffcccc	0.618	1	1.6
554	13317	Wilkes	GA	554	10	13317	Wilkes	GA	4251	1679	39.50%	2572	60.50%	893	21.00%	R	R1		ffcccc	0.618	1	1.6	3112	0	0.00%	3110	99.90%	3108	99.90%	R	R5		990000	0.618	1	1.6	3046	1265	41.50%	1781	58.50%	516	16.90%	R	R1		ffcccc	0.618	1	1.6	3221	0	0.00%	3221	100.00%	3221	100.00%	R	R5		990000	0.618	1	1.6	3699	1505	40.70%	2194	59.30%	689	18.60%	R	R1		ffcccc	0.618	1	1.6
555	13319	Wilkinson	GA	555	8	13319	Wilkinson	GA	2814	0	0.00%	2809	99.80%	2804	99.80%	R	R5		990000	0.618	1	1.6	3998	1687	42.20%	2311	57.80%	624	15.60%	R	R1		ffcccc	0.618	1	1.6	2116	0	0.00%	2116	100.00%	2116	100.00%	R	R5		990000	0.618	1	1.6	2828	0	0.00%	2828	100.00%	2828	100.00%	R	R5		990000	0.618	1	1.6	3389	1941	57.30%	1448	42.70%	493	-14.50%	D	B1		cce5ff	0.618	1	1.6
556	13321	Worth	GA	556	8	13321	Worth	GA	6512	0	0.00%	6512	100.00%	6512	100.00%	R	R5		990000	0.618	1	1.6	8024	1895	23.60%	6129	76.40%	4234	52.80%	R	R3		ff7878	0.618	1	1.6	4353	0	0.00%	4353	100.00%	4353	100.00%	R	R5		990000	0.618	1	1.6	6678	0	0.00%	6678	100.00%	6678	100.00%	R	R5		990000	0.618	1	1.6	6015	1929	32.10%	4086	67.90%	2157	35.90%	R	R2		ff9999	0.618	1	1.6
557	15001	Hawaii	HI	557	2	15001	Hawaii	HI	57375	45237	78.80%	12138	21.20%	33099	-57.70%	D	B3		6a5acd	0.618	1	1.6	62500	51047	81.70%	11453	18.30%	39594	-63.40%	D	B4		0000cd	0.618	2	2.6	48832	38874	79.60%	8387	17.20%	30487	-62.40%	D	B4		0000cd	0.618	1	1.6	61153	49995	81.80%	11158	18.20%	38837	-63.50%	D	B4		0000cd	0.618	2	2.6	50289	37180	73.90%	11655	23.20%	25525	-50.80%	D	B3		6a5acd	0.618	1	1.6
558	15003	Honolulu	HI	558		15003	Honolulu	HI	252061	183084	72.60%	61914	24.60%	121170	-48.10%	D	B3		6a5acd	0.618	5	5.6	275484	203339	73.80%	61163	22.20%	142176	-51.60%	D	B3		6a5acd	0.618	5	5.6	244957	142502	58.20%	101111	41.30%	41391	-16.90%	D	B1		cce5ff	0.618	5	5.6	290674	176877	60.90%	113797	39.10%	63080	-21.70%	D	B2		99ccff	0.618	5	5.6	248769	142908	57.40%	104318	41.90%	38590	-15.50%	D	B1		cce5ff	0.618	5	5.6
559	15007	Kauai	HI	559	2	15007	Kauai	HI	24274	19694	81.10%	4580	18.90%	15114	-62.30%	D	B4		0000cd	0.618	1	1.6	25130	20833	82.90%	4297	17.10%	16536	-65.80%	D	B4		0000cd	0.618	1	1.6	22460	18490	82.30%	3599	16.00%	14891	-66.30%	D	B4		0000cd	0.618	1	1.6	23897	19890	83.20%	4007	16.80%	15883	-66.50%	D	B4		0000cd	0.618	1	1.6	21025	16605	79.00%	3960	18.80%	12645	-60.10%	D	B4		0000cd	0.618	1	1.6
560	15009	Maui	HI	560	2	15009	Maui	HI	48622	39906	82.10%	8716	17.90%	31190	-64.10%	D	B4		0000cd	0.618	1	1.6	49759	41046	82.50%	8713	17.50%	32333	-65.00%	D	B4		0000cd	0.618	1	1.6	43867	35487	80.90%	6974	15.90%	28513	-65.00%	D	B4		0000cd	0.618	1	1.6	46393	37912	81.70%	8481	18.30%	29431	-63.40%	D	B4		0000cd	0.618	1	1.6	39961	29680	74.30%	9174	23.00%	20506	-51.30%	D	B3		6a5acd	0.618	1	1.6
561	16001	Ada	ID	561		16001	Ada	ID	187362	86193	46.00%	95068	50.70%	8875	4.70%	R	R1		ffcccc	0.618	4	4.6	193264	77689	40.20%	110777	57.30%	33088	17.10%	R	R1		ffcccc	0.618	4	4.6	128227	58314	45.50%	69913	54.50%	11599	9.00%	R	R1		ffcccc	0.618	3	3.6	176414	72709	41.20%	98616	55.90%	25907	14.70%	R	R1		ffcccc	0.618	3	3.6	119635	48434	40.50%	64212	53.70%	15778	13.20%	R	R1		ffcccc	0.618	2	2.6
